x;y
-127;120
-127;118
-127;113
-127;110
-127;108
-127;105
-127;98
-127;94
-127;90
-127;87
-127;79
-127;76
-127;72
-127;65
-127;61
-127;57
-127;54
-127;50
-127;43
-127;39
-127;36
-127;28
-127;25
-127;21
-127;17
-127;10
-127;7
-127;3
-127;0
-127;-7
-127;-7
-127;-14
-127;-22
-127;-22
-127;-29
-127;-33
-127;-36
-127;-40
-127;-47
-127;-51
-127;-54
-127;-62
-127;-65
-127;-69
-127;-73
-127;-82
-127;-87
-127;-92
-127;-97
-127;-104
-127;-106
-127;-109
-127;-114
-127;-116
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-117
-127;-121
-127;-123
-127;-125
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
-127;-129
