x;y
-123;-129
-118;-129
-114;-129
-104;-129
-99;-129
-95;-129
-92;-129
-85;-129
-81;-129
-77;-129
-74;-129
-66;-129
-63;-129
-56;-129
-56;-129
-52;-129
-45;-129
-37;-129
-37;-129
-30;-129
-26;-129
-19;-129
-19;-129
-15;-129
-8;-129
-1;-129
2;-129
6;-129
9;-129
13;-129
20;-129
20;-129
27;-129
35;-129
35;-129
42;-129
46;-129
53;-129
53;-129
60;-129
64;-129
67;-129
71;-129
78;-129
82;-129
87;-129
90;-129
92;-129
95;-129
97;-129
98;-129
98;-129
98;-129
98;-129
98;-129
98;-129
98;-129
98;-129
98;-129
99;-129
103;-129
110;-129
114;-129
117;-129
121;-129
125;-129
132;-129
136;-129
139;-129
143;-129
143;-129
143;-129
143;-129
