x;y
143;-127
143;-125
143;-120
143;-118
143;-115
143;-115
143;-115
143;-115
142;-115
139;-114
138;-113
136;-111
135;-110
132;-109
128;-107
119;-100
114;-95
109;-90
100;-81
95;-76
90;-71
81;-62
76;-57
71;-52
62;-42
57;-38
52;-33
47;-28
43;-23
38;-19
28;-9
23;-4
19;0
14;4
6;12
0;19
-4;22
-7;26
-11;29
-14;32
-21;39
-25;42
-28;46
-32;49
-38;56
-42;59
-45;62
-49;65
-52;69
-59;75
-62;79
-66;82
-69;85
-72;88
-80;92
-84;94
-93;97
-97;98
-101;99
-105;99
-108;99
-116;99
-120;99
-124;99
-128;102
-138;108
-147;115
-151;118
-155;118
-159;118
-167;118
-169;118
-171;118
-173;120
-175;124
-178;130
-179;130
-179;130
-179;130
-179;130
-179;130
-179;130
-179;130
-179;130
-179;130
-179;130
-179;130
-179;130
-179;130
