date;time;x;y;fx;fy
28/12/2022;10:31:38.665;120;-120;0;0
28/12/2022;10:31:38.759;120;-120;0;0
28/12/2022;10:31:38.790;120;-120;0;0
28/12/2022;10:31:38.853;120;-120;0;0
28/12/2022;10:31:38.915;120;-120;0;0
28/12/2022;10:31:38.978;120;-120;0;0
28/12/2022;10:31:39.040;120;-120;0;0
28/12/2022;10:31:39.103;120;-120;0;0
28/12/2022;10:31:39.165;120;-120;0;0
28/12/2022;10:31:39.228;120;-120;0;58
28/12/2022;10:31:39.290;120;-120;0;58
28/12/2022;10:31:39.353;120;-120;0;58
28/12/2022;10:31:39.415;120;-120;0;58
28/12/2022;10:31:39.478;120;-118;0;803
28/12/2022;10:31:39.540;120;-114;0;803
28/12/2022;10:31:39.603;120;-111;0;803
28/12/2022;10:31:39.665;120;-107;0;803
28/12/2022;10:31:39.728;120;-100;0;803
28/12/2022;10:31:39.790;120;-96;0;1229
28/12/2022;10:31:39.853;120;-93;0;1229
28/12/2022;10:31:39.915;120;-90;0;1229
28/12/2022;10:31:39.978;120;-83;0;1229
28/12/2022;10:31:40.040;120;-80;0;1229
28/12/2022;10:31:40.103;120;-77;0;1205
28/12/2022;10:31:40.165;120;-76;0;1205
28/12/2022;10:31:40.228;120;-73;0;1205
28/12/2022;10:31:40.290;120;-72;0;1205
28/12/2022;10:31:40.353;120;-71;0;1205
28/12/2022;10:31:40.415;120;-70;0;1205
28/12/2022;10:31:40.478;120;-63;0;1287
28/12/2022;10:31:40.540;120;-59;0;1287
28/12/2022;10:31:40.603;120;-55;0;1287
28/12/2022;10:31:40.665;120;-52;0;1287
28/12/2022;10:31:40.728;120;-49;0;1094
28/12/2022;10:31:40.790;120;-53;0;1094
28/12/2022;10:31:40.853;120;-57;0;1094
28/12/2022;10:31:40.915;120;-60;0;1094
28/12/2022;10:31:40.978;120;-67;0;1094
28/12/2022;10:31:41.040;120;-66;0;1895
28/12/2022;10:31:41.103;120;-63;0;1895
28/12/2022;10:31:41.165;120;-59;0;1895
