x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-118
120;-115
120;-112
120;-109
120;-103
120;-100
120;-96
120;-93
120;-86
120;-82
120;-78
120;-75
120;-68
120;-64
120;-60
120;-57
120;-49
120;-46
120;-42
120;-39
120;-31
120;-28
120;-24
120;-21
120;-13
120;-10
120;-6
120;-2
120;4
120;7
120;11
120;15
120;22
120;25
120;29
120;33
120;40
120;44
120;47
120;51
120;58
120;62
120;65
120;69
120;76
120;80
120;83
120;87
120;94
120;98
120;102
120;105
120;113
120;116
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
120;120
