x;y
-125;118
-122;118
-115;118
-111;118
-108;118
-104;118
-97;118
-93;118
-89;118
-82;118
-78;118
-75;118
-71;118
-64;118
-60;118
-56;118
-53;118
-49;118
-42;118
-38;118
-34;118
-27;118
-23;118
-20;118
-13;118
-9;118
-5;118
-2;118
5;118
8;118
12;118
16;118
19;118
23;118
30;118
34;118
37;118
45;118
48;118
52;118
56;118
59;118
66;118
74;118
78;118
81;118
85;118
88;118
92;118
96;118
101;118
106;118
109;118
112;118
114;118
116;118
118;118
120;118
124;118
125;118
125;118
125;118
125;118
125;118
