x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-115
120;-111
120;-101
120;-97
120;-92
120;-88
120;-81
120;-77
120;-73
120;-70
120;-62
120;-59
120;-55
120;-51
120;-44
120;-41
120;-37
120;-33
120;-26
120;-22
120;-19
120;-15
120;-8
120;-4
120;0
120;2
120;10
120;13
120;17
120;20
120;28
120;31
120;35
120;39
120;46
120;50
120;53
120;57
120;64
120;68
120;71
120;75
120;82
120;86
120;90
120;93
120;101
120;104
120;108
120;111
120;118
120;121
120;125
120;128
120;130
120;130
120;130
120;130
