x;y
-115;-130
-115;-130
-115;-130
-112;-130
-108;-130
-105;-130
-101;-130
-94;-130
-90;-130
-86;-130
-83;-130
-75;-130
-72;-130
-68;-130
-64;-130
-57;-130
-54;-130
-50;-130
-46;-130
-39;-130
-35;-130
-32;-130
-28;-130
-21;-130
-17;-130
-14;-130
-10;-130
-3;-130
0;-130
4;-130
7;-130
11;-130
18;-130
22;-130
25;-130
29;-130
36;-130
40;-130
44;-130
51;-130
55;-130
58;-130
62;-130
69;-130
73;-130
76;-130
80;-130
84;-130
91;-130
95;-130
98;-130
106;-130
109;-130
113;-130
117;-130
124;-130
127;-130
130;-130
134;-130
135;-130
137;-130
139;-130
