time;x;y;fx;fy
63;120;-120;38;0
126;120;-120;38;0
189;120;-120;38;0
252;120;-120;38;0
315;120;-120;38;0
378;120;-120;38;0
441;120;-120;38;0
504;120;-120;38;0
567;120;-120;0;0
630;120;-120;0;0
693;120;-120;0;0
756;120;-115;0;247
819;120;-111;0;247
882;120;-101;0;247
945;120;-97;0;247
1008;120;-92;0;247
1071;120;-88;0;449
1134;120;-81;0;449
1197;120;-77;0;449
1260;120;-73;0;449
1323;120;-70;0;449
1386;120;-62;0;411
1449;120;-59;0;411
1512;120;-55;0;411
1575;120;-51;0;411
1638;120;-44;0;459
1701;120;-41;0;459
1764;120;-37;0;459
1827;120;-33;0;459
1890;120;-26;0;459
1953;120;-22;0;536
2016;120;-19;0;536
2079;120;-15;0;536
2142;120;-8;0;536
2205;120;-4;0;536
2268;120;0;0;547
2331;120;2;0;547
2394;120;10;0;547
2457;120;13;0;547
2520;120;17;0;547
2583;120;20;0;563
2646;120;28;0;563
2709;120;31;0;563
2772;120;35;0;563
2835;120;39;0;563
2898;120;46;0;503
2961;120;50;0;503
3024;120;53;0;503
3087;120;57;0;503
3150;120;64;0;503
3213;120;68;0;528
3276;120;71;0;528
3339;120;75;0;528
3402;120;82;0;528
3465;120;86;0;528
3528;120;90;0;485
3591;120;93;0;485
3654;120;101;0;485
3717;120;104;0;485
3780;120;108;0;485
3843;120;111;0;230
3906;120;118;0;230
3969;120;121;0;230
4032;120;125;0;230
4095;120;128;0;230
4158;120;130;0;58
4221;120;130;0;58
4284;120;130;0;58
4347;120;130;0;58
4410;120;130;0;0
4473;120;130;0;0
4536;120;130;0;0
4599;120;130;0;0
4662;120;130;0;0
4725;120;130;0;0
4788;120;130;0;0
4851;120;130;0;0
4914;120;130;0;0
4977;120;130;0;0
5040;120;130;0;0
5103;120;130;0;71
5166;120;130;0;71
5229;120;130;0;71
5292;120;130;0;71
5355;120;130;0;71
5418;120;130;0;64
5481;120;130;0;64
5544;120;130;0;64
5607;120;130;0;64
5670;120;130;0;0
5733;120;130;0;0
5796;120;130;0;0
5859;120;130;0;0
5922;120;130;-53;0
5985;120;130;-53;0
6048;120;130;-53;-88
6111;120;130;-53;-88
6174;120;130;-53;-88
6237;119;130;-183;-88
6300;116;130;-183;-88
6363;113;129;-183;-194
6426;108;123;-183;-194
6489;105;120;-183;-194
6552;103;117;-92;-194
6615;103;113;-92;-194
6678;103;106;-92;-469
6741;103;103;-92;-469
6804;103;99;-92;-469
6867;103;95;-116;-469
6930;100;87;-116;-374
6993;99;83;-116;-374
7056;97;79;-116;-374
7119;96;75;-116;-374
7182;90;66;-334;-374
7245;86;61;-334;-374
7308;81;57;-334;-327
7371;76;52;-334;-327
7434;67;42;-334;-327
7497;62;38;-432;-327
7560;57;33;-432;-327
7623;53;29;-432;-248
7686;46;22;-432;-248
7749;43;19;-432;-248
7812;39;16;-375;-248
7875;36;13;-375;-248
7938;29;6;-375;-233
8001;25;2;-375;-233
8064;22;0;-375;-233
8127;18;-3;-337;-233
8190;11;-10;-337;-209
8253;8;-13;-337;-209
8316;4;-16;-337;-209
8379;1;-20;-337;-209
8442;-7;-26;-254;-209
8505;-12;-29;-254;-150
8568;-16;-31;-254;-150
8631;-21;-33;-254;-150
8694;-30;-37;-189;-150
8757;-33;-39;-189;-150
8820;-37;-41;-189;-257
8883;-40;-46;-189;-257
8946;-46;-55;-189;-257
9009;-49;-60;-180;-257
9072;-51;-64;-180;-257
9135;-54;-69;-180;-150
9198;-59;-74;-180;-150
9261;-61;-76;-180;-150
9324;-64;-78;-180;-150
9387;-66;-80;-174;-150
9450;-71;-86;-174;-253
9513;-74;-91;-174;-253
9576;-76;-96;-174;-253
9639;-79;-100;-174;-253
9702;-85;-110;-232;-253
9765;-88;-112;-232;-122
9828;-91;-114;-232;-122
9891;-95;-116;-232;-122
9954;-101;-119;-175;-122
10017;-103;-121;-175;-122
10080;-106;-123;-175;-146
10143;-108;-125;-175;-146
10206;-113;-129;-175;-146
10269;-115;-130;-64;-146
10332;-115;-130;-64;-146
10395;-115;-130;-64;0
10458;-115;-130;-64;49
10521;-115;-130;-64;49
10584;-115;-130;0;49
10647;-115;-130;0;49
10710;-115;-130;0;0
10773;-115;-130;0;0
10836;-115;-130;0;0
10899;-115;-130;0;0
10962;-115;-130;0;0
11025;-115;-130;0;0
11088;-115;-130;57;0
11151;-115;-130;57;0
11214;-115;-130;57;0
11277;-115;-130;57;0
11340;-115;-130;57;0
11403;-115;-130;57;0
11466;-112;-130;506;0
11529;-108;-130;506;0
11592;-105;-130;506;0
11655;-101;-130;506;0
11718;-94;-130;506;81
11781;-90;-130;656;81
11844;-86;-130;656;81
11907;-83;-130;656;81
11970;-75;-130;656;105
12033;-72;-130;656;105
12096;-68;-130;706;105
12159;-64;-130;706;105
12222;-57;-130;706;105
12285;-54;-130;706;94
12348;-50;-130;706;94
12411;-46;-130;703;94
12474;-39;-130;703;94
12537;-35;-130;703;94
12600;-32;-130;703;85
12663;-28;-130;703;85
12726;-21;-130;705;85
12789;-17;-130;705;85
12852;-14;-130;705;85
12915;-10;-130;705;81
12978;-3;-130;695;81
13041;0;-130;695;81
13104;4;-130;695;81
13167;7;-130;695;81
13230;11;-130;695;37
13293;18;-130;613;37
13356;22;-130;613;37
13419;25;-130;613;37
13482;29;-130;613;37
13545;36;-130;613;0
13608;40;-130;593;0
13671;44;-130;593;0
13734;51;-130;593;0
13797;55;-130;593;0
13860;58;-130;593;36
13923;62;-130;593;36
13986;69;-130;569;36
14049;73;-130;569;36
14112;76;-130;569;36
14175;80;-130;569;34
14238;84;-130;569;34
14301;91;-130;476;34
14364;95;-130;476;34
14427;98;-130;476;34
14490;106;-130;476;0
14553;109;-130;322;0
14616;113;-130;322;0
14679;117;-130;322;0
14742;124;-130;322;28
14805;127;-130;322;28
14868;130;-130;122;28
14931;134;-130;122;28
14994;135;-130;122;28
15057;137;-130;122;65
15120;139;-130;122;65
15183;140;-130;0;65
15246;140;-130;0;65
15309;140;-130;0;65
15372;140;-130;0;54
15435;140;-130;0;54
15498;140;-130;0;54
15561;140;-130;0;54
15624;140;-130;0;54
15687;140;-130;0;135
15750;140;-126;0;135
15813;140;-124;0;135
15876;140;-122;0;135
15939;140;-120;0;135
16002;135;-113;-174;519
16065;133;-109;-174;519
16128;131;-104;-174;519
16191;126;-95;-174;519
16254;129;-91;-1024;519
16317;134;-93;-1024;849
16380;138;-97;-1024;849
16443;143;-102;-1024;849
16506;153;-112;-1024;849
16569;157;-116;-968;849
16632;162;-117;-968;1418
16695;167;-112;-968;1418
16758;177;-102;-968;1418
16821;182;-98;-968;1418
16884;182;-93;-711;1418
16947;178;-89;-711;125
17010;171;-86;-711;125
17073;167;-84;-711;125
17136;164;-83;-711;125
17199;161;-79;0;555
17262;161;-75;0;555
17325;161;-71;0;555
17388;161;-68;0;555
17451;161;-64;0;555
17514;161;-57;0;0
17577;161;-57;0;0
17640;161;-57;0;0
17703;161;-57;0;0
17766;161;-57;0;0
17829;161;-57;0;0
17892;161;-57;0;0
17955;161;-57;0;0
18018;161;-57;0;0
18081;161;-57;0;0
18144;158;-57;-222;0
18207;154;-57;-222;0
18270;147;-57;-222;0
18333;143;-57;-222;0
18396;139;-57;-222;0
18459;138;-54;-1097;340
18522;142;-49;-1097;340
18585;147;-44;-1097;340
18648;157;-35;-1097;340
18711;157;-35;-1097;340
18774;166;-26;-1110;275
18837;169;-23;-1110;275
18900;173;-19;-1110;275
18963;176;-16;-1110;275
19026;184;-8;-1110;275
19089;186;-6;0;0
19152;186;-6;0;0
19215;186;-6;0;0
19278;186;-6;0;0
19341;186;-6;0;0
19404;186;-6;0;0
19467;186;-6;0;0
19530;186;-6;39;0
19593;186;-6;39;0
19656;186;-6;39;0
19719;186;-6;39;-66
19782;186;-6;153;-66
19845;188;-6;153;-66
19908;190;-6;153;-66
19971;192;-6;153;-66
20034;196;-6;153;-78
20097;198;-6;201;-78
20160;201;-6;201;-78
20223;208;-6;201;-78
20286;211;-6;201;-78
20349;214;-8;201;-128
20412;217;-10;201;-128
20475;221;-13;139;-128
20538;223;-15;139;-128
20601;224;-17;139;-128
20664;226;-17;139;-98
20727;228;-17;139;-98
20790;229;-17;0;-98
20853;229;-17;0;-98
20916;229;-17;0;-98
20979;229;-21;-74;-151
21042;229;-23;-74;-151
21105;229;-25;-74;-151
21168;229;-27;-74;-151
21231;228;-30;-176;-47
21294;225;-30;-176;-47
21357;222;-30;-176;-47
21420;219;-30;-176;-47
21483;213;-30;-176;-47
21546;211;-31;-176;-263
21609;208;-36;-111;-263
21672;207;-41;-111;-263
21735;204;-51;-111;-263
21798;203;-55;-111;-263
21861;200;-64;-107;0
21924;200;-64;-107;0
21987;200;-64;-107;0
22050;200;-64;-107;0
22113;200;-64;-107;0
22176;200;-64;-107;0
22239;200;-64;-91;-55
22302;200;-64;-91;-55
22365;200;-64;-91;-55
22428;200;-64;-91;-55
22491;200;-64;-91;-55
22554;200;-64;-49;-57
22617;200;-64;-49;-57
22680;200;-64;-49;-57
22743;200;-64;-49;-57
22806;200;-64;-49;-57
22869;200;-66;-50;-179
22932;200;-69;-50;-179
22995;200;-74;-50;-179
23058;200;-76;-50;-179
23121;200;-79;-50;-179
23184;200;-82;-28;-211
23247;200;-89;-28;-211
23310;200;-92;-28;-211
23373;200;-95;-28;-211
23436;200;-100;-38;-66
23499;200;-100;-38;-66
23562;200;-100;-38;-66
23625;200;-100;-38;-66
23688;200;-100;-38;-66
23751;200;-100;-68;-79
23814;200;-100;-68;-79
23877;200;-100;-68;-79
23940;200;-100;-68;-79
24003;200;-100;-68;-79
24066;200;-101;-93;-180
24129;200;-103;-93;-180
24192;200;-106;-93;-180
24255;200;-111;-93;-180
24318;200;-114;-93;-180
24381;200;-116;-95;-84
24444;200;-116;-95;-84
24507;200;-116;-95;-84
24570;200;-116;-95;-84
24633;200;-116;-95;-84
24696;200;-116;-95;-84
24759;197;-116;-126;-55
24822;195;-116;-126;-55
24885;193;-116;-126;-55
24948;192;-116;-126;-55
25011;190;-116;-126;-55
25074;190;-116;-77;-73
25137;190;-116;-77;-73
25200;190;-116;-77;-73
25263;190;-116;-77;-73
25326;190;-116;-84;-47
25389;190;-116;-84;-47
25452;190;-116;-84;-47
25515;190;-116;-84;-47
25578;190;-116;-84;-47
25641;190;-116;-93;0
25704;190;-116;-93;0
25767;190;-116;-93;0
25830;190;-116;-93;0
25893;190;-116;-93;0
25956;190;-117;-50;-199
26019;190;-120;-50;-199
26082;190;-127;-50;-199
26145;190;-130;-50;-199
26208;190;-130;-50;-199
26271;190;-130;-101;-60
