x;y
126;-104
126;-104
126;-104
126;-104
126;-104
126;-104
126;-102
126;-100
126;-97
126;-92
126;-90
126;-87
126;-85
126;-82
126;-77
123;-75
118;-71
109;-62
104;-57
99;-52
99;-47
109;-38
114;-33
119;-28
123;-23
128;-18
137;-12
142;-10
151;-5
151;-5
148;-1
145;-1
141;-1
137;-1
129;-1
125;-1
122;-1
114;-1
110;-1
106;-1
98;-1
98;-1
91;-1
87;-1
83;-1
75;-1
72;-1
68;-1
64;-1
56;-1
53;-1
49;-1
45;-1
37;-1
33;-1
30;-1
22;-1
22;-1
14;-1
10;-1
1;4
-2;9
-7;14
-12;18
-17;23
-26;21
-31;16
-36;11
-40;6
-50;-2
-54;-7
-59;-11
-64;-16
-73;-26
-78;-30
-83;-27
-92;-17
-92;-17
-102;-8
-103;0
-103;2
-103;2
-103;10
-103;13
-103;17
-103;24
-103;28
-103;31
-103;39
-103;39
-103;35
-103;32
-103;24
-103;24
-103;19
-103;23
-103;27
-103;30
-103;37
-103;41
-103;45
-103;48
-103;56
-103;59
-103;67
-103;67
-103;74
-103;77
-103;85
-103;85
-103;92
-103;96
-103;99
-103;103
-103;110
-103;113
-103;116
-103;123
-103;126
-104;127
-105;127
-108;127
-110;127
-111;127
-114;127
-118;127
-125;127
-129;127
-133;127
-136;127
-136;127
-136;127
-136;127
