x;y
-136;126
-136;123
-136;121
-136;119
-136;117
-136;111
-136;108
-136;105
-136;98
-136;95
-136;91
-136;88
-136;85
-136;78
-136;74
-136;71
-136;68
-136;61
-136;58
-136;55
-136;51
-136;45
-136;41
-136;38
-136;35
-136;31
-136;24
-136;20
-136;17
-136;10
-136;6
-136;3
-136;-3
-136;-3
-136;-9
-136;-13
-136;-17
-136;-20
-136;-27
-136;-31
-136;-34
-136;-41
-136;-44
-136;-47
-136;-51
-136;-57
-136;-61
-136;-64
-136;-67
-136;-73
-136;-76
-136;-79
-136;-84
-136;-87
-136;-89
-136;-91
-136;-95
-136;-97
-136;-99
-136;-102
-136;-104
-136;-109
-136;-112
-136;-114
-136;-114
-136;-114
-136;-114
-136;-114
-136;-114
-136;-114
-136;-114
-136;-114
-136;-114
-132;-114
-128;-114
-123;-114
-118;-114
