x;y
-109;128
-108;128
-105;128
-101;128
-94;128
-90;128
-87;128
-83;128
-79;128
-72;128
-68;128
-65;128
-61;128
-54;128
-50;128
-46;128
-43;128
-36;128
-32;128
-28;128
-25;128
-17;128
-14;128
-10;128
-7;128
-3;128
3;128
11;128
14;128
18;128
22;128
25;128
29;128
33;128
40;128
44;128
47;128
51;128
58;128
66;128
69;128
73;128
77;128
80;128
84;128
87;128
95;128
98;128
106;128
109;128
113;128
120;128
124;128
127;128
131;128
135;128
138;128
139;128
139;128
139;128
139;128
139;128
